age,bodyssa,bodysss,clinssa,clinsss,disssa,dissss,gndssa,gndsss,headssa,headsss,height,kd,legssa,legsss,pas,reach,rev,ssa,sss,sub,tda,tds,tsa,tss,winner
-3.38630137,3,2,0,0,7,2,4,4,8,3,0,1,0,1,0,3,0,11,6,0,0,0,11,6,0
2.953424658,10,8,19,11,29,7,1,-2,36,5,-1,1,3,3,1,0,1,49,16,-1,4,3,49,18,0
-3.791780822,2,1,-4,0,-4,3,17,10,7,12,1,0,0,0,2,0,2,9,13,0,6,2,33,32,1
7.761643836,4,3,2,3,-2,-2,20,14,15,12,-7,0,1,0,0,-4,0,20,15,0,2,1,25,20,1
-2.284931507,-3,-3,1,1,22,15,0,0,26,18,3,1,0,1,1,10,1,23,16,1,2,1,23,17,0
5.24109589,15,6,13,4,48,12,39,27,64,21,2,0,21,16,4,-1,4,100,43,1,-6,-3,179,109,0
8.753424658,8,8,13,11,12,0,1,5,18,9,0,-1,0,-1,0,2,0,26,16,1,1,0,26,16,1
-4.435616438,24,14,30,22,14,-3,-2,0,6,-4,1,0,12,9,-1,2,-1,42,19,0,3,-1,5,-6,1
4.81369863,-7,-4,3,3,-7,-7,-7,-2,0,3,5,0,-4,-5,2,5,2,-11,-6,1,-6,-2,-63,-57,1
11.68219178,6,4,1,0,11,13,7,7,11,14,-3,1,2,2,0,-3,0,19,20,1,2,1,50,48,1
-3.989041096,12,11,0,0,47,30,0,0,7,-4,3,1,28,23,0,4,0,47,30,0,-5,0,47,30,0
2.953424658,2,2,0,0,1,0,-12,-4,-11,-4,-4,0,-2,-2,-1,-2,-1,-11,-4,2,-1,-1,-14,-6,0
-2.712328767,1,2,3,3,-14,-3,1,4,-10,0,4,0,-1,2,2,2,2,-10,4,1,1,2,58,56,0
0.868493151,-2,-1,0,0,8,-2,15,9,24,8,-2,1,1,0,0,-3,0,23,7,0,0,0,23,7,0
7.663013699,-1,1,6,9,-20,-12,-2,0,-12,-3,1,0,-3,-1,-4,0,-4,-16,-3,1,-3,-4,-4,12,1
0.6,1,0,5,2,5,6,9,5,17,12,0,2,1,1,0,-1,0,19,13,0,0,0,24,18,1
-3.852054795,0,2,0,0,1,3,0,0,2,1,1,0,-1,0,2,4,2,1,3,1,1,2,2,4,0
-8.624657534,8,6,1,1,37,1,-1,-1,36,2,12,0,-7,-7,0,10,0,37,1,1,0,0,37,1,1
0.8,7,5,1,3,6,3,-1,-1,-8,-4,-1,0,7,4,2,-1,2,6,5,2,-9,-3,28,23,1
1.679452055,3,2,1,1,-15,8,2,1,-11,6,3,1,-4,2,0,5,0,-12,10,0,0,0,-17,4,1
-0.189041096,2,2,-5,-3,22,7,32,21,47,23,3,0,0,0,8,6,8,49,25,0,2,2,-27,-48,1
2.424657534,27,15,7,3,-8,21,-10,-8,-53,-12,-3,0,15,13,0,-2,0,-11,16,0,3,0,-15,13,0
-1.569863014,0,1,0,0,0,1,0,0,0,0,3,0,0,0,0,1,0,0,1,1,0,0,0,1,1
5.076712329,-3,2,7,6,-8,-2,15,14,19,18,-4,0,-2,-2,2,1,2,14,18,2,3,2,98,95,0
9.6,0,0,-1,-1,-13,1,0,0,-13,1,-2,1,-1,-1,0,0,0,-14,0,0,-3,0,-14,0,1
8.293150685,-4,-2,0,0,-4,-1,0,0,0,1,-4,1,0,0,0,-4,0,-4,-1,0,0,0,-3,0,0
-4.35890411,-17,-15,-10,-6,16,11,0,0,38,34,1,0,-15,-14,3,3,3,6,5,2,-4,2,10,8,1
7.17260274,-9,-1,21,20,13,16,0,0,12,12,-2,0,31,25,-1,3,-1,34,36,0,-1,-2,63,64,1
-4.956164384,1,0,0,0,13,3,7,5,15,6,2,1,4,2,0,5,0,20,8,0,0,0,20,8,0
-6.764383562,5,3,1,1,21,8,17,15,32,20,0,0,2,1,-3,-1,-3,39,24,-2,-6,0,44,29,0
1.057534247,1,5,-1,0,41,24,0,0,40,18,3,1,-1,1,2,1,2,40,24,0,5,4,40,24,1
-5.936986301,6,4,5,6,11,14,46,37,52,47,-2,0,4,6,13,-4,13,62,57,-1,10,6,57,50,0
-2.868493151,1,1,0,-1,3,2,-1,-1,0,-2,0,0,1,1,-1,0,-1,2,0,1,-2,-1,2,0,1
-4.109589041,-1,-1,1,1,3,2,3,2,9,6,3,0,-1,0,0,6,0,7,5,0,-1,0,7,5,1
-0.810958904,16,13,5,5,41,34,3,3,36,32,3,0,-3,-3,0,7,0,49,42,0,-12,-2,35,43,0
-5.797260274,45,14,3,2,77,34,-5,-2,17,10,1,0,13,10,0,1,0,75,34,0,2,0,74,36,0
0.142465753,0,3,1,1,19,9,7,6,30,16,4,0,-3,-3,0,5,0,27,16,0,-2,0,30,19,0
6.465753425,-6,-2,1,2,-13,3,-7,-3,-20,-3,-2,-1,7,7,8,-3,8,-19,2,1,14,9,36,34,0
-4.342465753,21,21,6,7,-3,7,40,30,16,21,2,0,6,2,3,1,3,43,44,0,3,4,89,87,0
1.663013699,9,3,-9,-4,21,20,10,6,2,5,0,1,11,14,0,-3,0,22,22,0,-2,0,25,22,0
